2022-10-24  14:48:53 - fundSpider.py[line:442] - ERROR: 数据库配置信息缺失！
2022-10-24  14:48:53 - fundSpider.py[line:443] - INFO: 输入'#'使用默认数据库配置信息，输入其他退出程序:
2022-10-24  14:49:01 - fundSpider.py[line:460] - INFO: 【数据库初始化完成，开始爬取投顾策略信息】
2022-10-24  14:49:01 - fundSpider.py[line:32] - INFO: 投顾产品总数：27
2022-10-24  14:49:01 - fundSpider.py[line:106] - INFO: 开始爬取南方基金管理股份有限公司的投顾策略...
2022-10-24  14:49:01 - fundSpider.py[line:113] - INFO: 爬取南方基金管理股份有限公司旗下共计25条投顾策略...
2022-10-24  14:49:02 - fundSpider.py[line:261] - INFO: 	司南多因子成长组合基本信息爬取成功
2022-10-24  14:49:02 - fundSpider.py[line:310] - INFO: 	司南多因子成长组合区间收益信息爬取成功
2022-10-24  14:49:02 - fundSpider.py[line:320] - WARNING: 司南多因子成长组合无持仓分布详细信息
2022-10-24  14:49:02 - fundSpider.py[line:371] - INFO: 	司南多因子成长组合调仓历史信息爬取成功
2022-10-24  14:49:02 - fundSpider.py[line:392] - INFO: 	司南多因子成长组合备选基金信息入库成功
2022-10-24  14:49:02 - fundSpider.py[line:411] - INFO: 	司南多因子成长组合日收益信息入库成功

2022-10-24  14:49:02 - fundSpider.py[line:261] - INFO: 	司南股债平衡蓝筹组合基本信息爬取成功
2022-10-24  14:49:02 - fundSpider.py[line:310] - INFO: 	司南股债平衡蓝筹组合区间收益信息爬取成功
2022-10-24  14:49:02 - fundSpider.py[line:320] - WARNING: 司南股债平衡蓝筹组合无持仓分布详细信息
2022-10-24  14:49:02 - fundSpider.py[line:371] - INFO: 	司南股债平衡蓝筹组合调仓历史信息爬取成功
2022-10-24  14:49:02 - fundSpider.py[line:392] - INFO: 	司南股债平衡蓝筹组合备选基金信息入库成功
2022-10-24  14:49:02 - fundSpider.py[line:411] - INFO: 	司南股债平衡蓝筹组合日收益信息入库成功

2022-10-24  14:49:03 - fundSpider.py[line:261] - INFO: 	司南锐进组合(第17期)基本信息爬取成功
2022-10-24  14:49:03 - fundSpider.py[line:310] - INFO: 	司南锐进组合(第17期)区间收益信息爬取成功
2022-10-24  14:49:03 - fundSpider.py[line:320] - WARNING: 司南锐进组合(第17期)无持仓分布详细信息
2022-10-24  14:49:03 - fundSpider.py[line:371] - INFO: 	司南锐进组合(第17期)调仓历史信息爬取成功
2022-10-24  14:49:03 - fundSpider.py[line:392] - INFO: 	司南锐进组合(第17期)备选基金信息入库成功
2022-10-24  14:49:03 - fundSpider.py[line:411] - INFO: 	司南锐进组合(第17期)日收益信息入库成功

2022-10-24  14:49:04 - fundSpider.py[line:261] - INFO: 	司南双月宝组合基本信息爬取成功
2022-10-24  14:49:04 - fundSpider.py[line:310] - INFO: 	司南双月宝组合区间收益信息爬取成功
2022-10-24  14:49:04 - fundSpider.py[line:320] - WARNING: 司南双月宝组合无持仓分布详细信息
2022-10-24  14:49:04 - fundSpider.py[line:371] - INFO: 	司南双月宝组合调仓历史信息爬取成功
2022-10-24  14:49:04 - fundSpider.py[line:392] - INFO: 	司南双月宝组合备选基金信息入库成功
2022-10-24  14:49:04 - fundSpider.py[line:411] - INFO: 	司南双月宝组合日收益信息入库成功

2022-10-24  14:49:04 - fundSpider.py[line:261] - INFO: 	司南绝对收益稳健组合基本信息爬取成功
2022-10-24  14:49:04 - fundSpider.py[line:310] - INFO: 	司南绝对收益稳健组合区间收益信息爬取成功
2022-10-24  14:49:04 - fundSpider.py[line:320] - WARNING: 司南绝对收益稳健组合无持仓分布详细信息
2022-10-24  14:49:04 - fundSpider.py[line:371] - INFO: 	司南绝对收益稳健组合调仓历史信息爬取成功
2022-10-24  14:49:04 - fundSpider.py[line:392] - INFO: 	司南绝对收益稳健组合备选基金信息入库成功
2022-10-24  14:49:04 - fundSpider.py[line:411] - INFO: 	司南绝对收益稳健组合日收益信息入库成功

2022-10-24  14:49:05 - fundSpider.py[line:261] - INFO: 	司南多因子蓝筹组合基本信息爬取成功
2022-10-24  14:49:05 - fundSpider.py[line:310] - INFO: 	司南多因子蓝筹组合区间收益信息爬取成功
2022-10-24  14:49:05 - fundSpider.py[line:320] - WARNING: 司南多因子蓝筹组合无持仓分布详细信息
2022-10-24  14:49:05 - fundSpider.py[line:371] - INFO: 	司南多因子蓝筹组合调仓历史信息爬取成功
2022-10-24  14:49:05 - fundSpider.py[line:392] - INFO: 	司南多因子蓝筹组合备选基金信息入库成功
2022-10-24  14:49:05 - fundSpider.py[line:411] - INFO: 	司南多因子蓝筹组合日收益信息入库成功

2022-10-24  14:49:05 - fundSpider.py[line:261] - INFO: 	司南军工基金精选基本信息爬取成功
2022-10-24  14:49:05 - fundSpider.py[line:310] - INFO: 	司南军工基金精选区间收益信息爬取成功
2022-10-24  14:49:05 - fundSpider.py[line:320] - WARNING: 司南军工基金精选无持仓分布详细信息
2022-10-24  14:49:05 - fundSpider.py[line:371] - INFO: 	司南军工基金精选调仓历史信息爬取成功
2022-10-24  14:49:05 - fundSpider.py[line:377] - WARNING: 司南军工基金精选备选基金信息缺失
